Year,ExitFlag,FirstOrderOpt,Iterations,Fval,Seconds
1976,1,0.00092866639447986,99,1.4243090716563,247.1354778
1978,1,0.000881597663790923,102,1.34095346953714,254.5072267
1979,1,0.000946481063362602,102,1.4512826722077,253.9801981
1980,1,0.000990248522070303,138,1.57213892370311,794.94009
1981,1,0.000855587893548979,107,1.70386421644812,271.3562532
1982,1,0.000880415565641002,133,1.85658659281701,329.7767765
1983,1,0.000968893397497506,94,1.71335303121922,249.3804592
1984,1,0.358358084976648,25,1.7229441012136,257.9460912
1985,1,0.000811774312080106,143,1.76053952685362,353.3299701
1986,1,0.000694975611503779,111,1.61201640690705,723.7493573
1987,1,0.448202694526181,26,1.52232390423777,1854.934557
1988,1,0.000880969351793465,111,1.50193932996023,273.9920437
1989,1,0.000806178172367722,54,1.51919035809144,137.1356248
1990,1,0.000850815682128858,106,1.61072683481412,264.7839825
1991,1,0.000799999999976137,92,1.72462521780065,228.8079176
1992,1,0.000818600466111818,73,1.72744653618863,325.7610417
1994,1,0.000799999999999908,127,1.81654530495892,538.9751348
1995,1,0.000805856217055863,114,1.59718063635166,297.0475647
1996,1,0.000965147431762348,85,1.5521634469131,215.5901976
1997,1,0.000899727877950458,87,1.50641369704734,220.8116751
1998,1,0.000799999999568465,86,1.5020182518062,214.4492479
1999,1,0.000954094153257206,126,1.52780924382499,371.0733891
2000,1,0.000799999999615719,91,1.59516269788043,228.8180765
2001,1,0.000971832221336011,120,1.67851425559251,295.1643894
2002,1,0.00096940584586018,132,1.75966105723126,583.5080781
2003,1,0.75053857628874,47,1.92136956392836,636.3040427
2004,1,0.000978294218978326,88,1.65649334671603,356.3120154
2005,1,0.000824287193599171,70,1.6343519311333,186.8745445
2006,1,0.000799999999994727,71,1.62540777876279,139.2363201
2007,1,0.000799999999979527,89,1.68245256189856,203.2634031
2008,1,0.000933262103153254,120,2.02060810267369,1311.3937182
2009,1,0.000799999999953881,127,2.13656031804612,434.1294959
2010,1,0.346724027869508,16,2.11507084833711,530.9061992
2011,1,0.475246177585504,27,2.02921177235542,556.7487359
2012,1,0.000649057891877192,144,1.97027271834398,783.981177
2013,1,0.522604082266986,21,1.89255038615944,389.1578544
2014,1,0.000961728196275652,127,1.82693023677435,568.2239811
2015,1,0.00099693247800281,74,1.76852088691801,187.3329665
2016,1,0.0008,70,1.74662161052345,178.4989526
2017,1,0.000799999999986303,77,1.66764209595871,197.6072443
2018,1,0.000799999999999371,103,1.65196397380299,400.6539437
2019,1,0.000799999999997931,83,1.96173942193635,188.7919265
2020,1,0.000972135566780438,93,2.1122525971119,241.4138383
2021,1,0.00089049692844297,85,1.73755462410137,217.8585631
2022,1,0.000579848649095993,89,1.64950594467013,1268.8626955
2023,1,0.000940351482759172,97,1.65957142677581,239.0609825
2024,1,0.000807765064350413,52,1.57850278603302,92.3705105
