Year,Fval_Old,Fval_MS,Fval_Best,Source
1976,1.4243090716563,1.42547429060577,1.4243090716563,old
1978,1.34095346953714,1.34207364634963,1.34095346953714,old
1979,1.4512826722077,1.45251657446604,1.4512826722077,old
1980,1.57213892370311,1.57889945607267,1.57213892370311,old
1981,1.70386421644812,1.70328059719975,1.70328059719975,ms
1982,1.85658659281701,1.85799961673096,1.85658659281701,old
1983,1.71335303121922,1.71445549365499,1.71335303121922,old
1984,1.7229441012136,1.70203386045828,1.70203386045828,ms
1985,1.76053952685362,1.761401624053,1.76053952685362,old
1986,1.61201640690705,1.61201640690705,1.61201640690705,ms
1987,1.52232390423777,1.50969548868189,1.50969548868189,ms
1988,1.50193932996023,1.5031116720805,1.50193932996023,old
1989,1.51919035809144,1.51143481384971,1.51143481384971,ms
1990,1.61072683481412,1.61185428714579,1.61072683481412,old
1991,1.72462521780065,1.72564871019071,1.72462521780065,old
1992,1.72744653618863,1.72136781186242,1.72136781186242,ms
1994,1.81654530495892,1.81779859811931,1.81654530495892,old
1995,1.59718063635166,1.59843048131421,1.59718063635166,old
1996,1.5521634469131,1.55343097116288,1.5521634469131,old
1997,1.50641369704734,1.50758025114276,1.50641369704734,old
1998,1.5020182518062,1.50297591494847,1.5020182518062,old
1999,1.52780924382499,1.52877363625501,1.52780924382499,old
2000,1.59516269788043,1.5962658904467,1.59516269788043,old
2001,1.67851425559251,1.67968828447743,1.67851425559251,old
2002,1.75966105723126,1.76061463244113,1.75966105723126,old
2003,1.92136956392836,1.92249461575942,1.92136956392836,old
2004,1.65649334671603,1.65651992653457,1.65649334671603,old
2005,1.6343519311333,1.63576092453324,1.6343519311333,old
2006,1.62540777876279,1.6265033273069,1.62540777876279,old
2007,1.68245256189856,1.68336638065753,1.68245256189856,old
2008,2.02060810267369,2.02551276855283,2.02060810267369,old
2009,2.13656031804612,2.13119742939435,2.13119742939435,ms
2010,2.11507084833711,2.09678834884568,2.09678834884568,ms
2011,2.02921177235542,2.01405940705537,2.01405940705537,ms
2012,1.97027271834398,1.97721930085311,1.97027271834398,old
2013,1.89255038615944,1.88061569718067,1.88061569718067,ms
2014,1.82693023677435,1.82803483472627,1.82693023677435,old
2015,1.76852088691801,1.76334961575387,1.76334961575387,ms
2016,1.74662161052345,1.7466986706763,1.74662161052345,old
2017,1.66764209595871,1.66927824638124,1.66764209595871,old
2018,1.65196397380299,1.64726635465136,1.64726635465136,ms
2019,1.96173942193635,1.96273622343336,1.96173942193635,old
2020,2.1122525971119,2.11313392896713,2.1122525971119,old
2021,1.73755462410137,1.73912091701247,1.73755462410137,old
2022,1.64950594467013,1.65710506598005,1.64950594467013,old
2023,1.65957142677581,1.66061201294495,1.65957142677581,old
2024,1.57850278603302,1.5763397182308,1.5763397182308,ms
