Year,EM_Fval,Fmincon_Fval,Delta,EM_Iters,BestStart,FirstOrdOpt,Seconds
1976,1.42431921633532,1.4243090716563,-1.01446790268245e-05,444,5,0.000858938123627473,367.3756229
1978,1.34109558268816,1.34095346953714,-0.000142113151020196,404,2,0.000818213961972624,345.9255294
1979,1.45536096151666,1.4512826722077,-0.00407828930895748,500,4,0.000887968622494739,324.5980536
1980,1.58102831485613,1.57213892370311,-0.00888939115301901,500,4,0.0020139141069947,518.1200696
1981,1.70394987666934,1.70328059719975,-0.000669279469581952,181,3,0.000932446971353737,313.9554332
1982,1.85655228537719,1.85658659281701,3.43074398145848e-05,500,2,0.000799999999970341,329.1946499
1983,1.71334665932534,1.71335303121922,6.37189387608927e-06,500,2,0.000817504270254718,465.3709821
1984,1.71152699253472,1.70203386045828,-0.00949313207644131,374,2,0.00611700224989753,336.20063
1985,1.76051442984627,1.76053952685362,2.50970073500945e-05,500,4,0.000982663617797898,322.1992117
1986,1.61643712296524,1.61201640690705,-0.00442071605819971,161,3,0.000799999999984309,460.6478711
1987,1.50840495020764,1.50969548868189,0.00129053847425364,500,2,0.000819024771684163,511.4836282
1988,1.51884311574017,1.50193932996023,-0.0169037857799423,188,2,0.0331660350054954,182.0400367
1989,1.53535459762882,1.51143481384971,-0.0239197837791045,395,3,0.0212049575342271,196.4295362
1990,1.62915977177856,1.61072683481412,-0.0184329369644392,500,5,0.0226473660027492,208.4466293
1991,1.72470378072492,1.72462521780065,-7.85629242778807e-05,500,3,0.000819928247509538,299.4953148
1992,1.72735075710003,1.72136781186242,-0.00598294523760745,290,5,0.000799999999999959,594.3358671
1994,1.82551541544164,1.81654530495892,-0.00897011048272689,54,5,0.0331777661869952,290.2564925
1995,1.61476058867841,1.59718063635166,-0.0175799523267428,383,2,0.0215531079254899,235.7393575
1996,1.55252538823925,1.5521634469131,-0.000361941326155524,500,4,0.000994252728440226,443.0349981
1997,1.52048069941109,1.50641369704734,-0.0140670023637506,228,1,0.057084675320744,246.2866997
1998,1.50204301359305,1.5020182518062,-2.47617868567307e-05,183,5,0.000981817989709088,329.5000313
1999,1.55211717493945,1.52780924382499,-0.0243079311144541,500,2,0.0232515930200137,231.3847392
2000,1.59517326683875,1.59516269788043,-1.05689583203006e-05,415,1,0.000933415743555294,349.1568724
2001,1.67855653604746,1.67851425559251,-4.2280454956467e-05,492,2,0.000921792406813996,598.1698632
2002,1.75958774458947,1.75966105723126,7.33126417904462e-05,321,2,0.000998619168815051,389.9553123
2003,1.9301694839983,1.92136956392836,-0.00879992006993779,500,2,0.000799999999969251,409.1345004
2004,1.65647501192729,1.65649334671603,1.83347887363627e-05,500,1,0.000926051153524104,550.3732608
2005,1.63778953901433,1.6343519311333,-0.00343760788102987,500,3,0.000799999999999704,415.5667589
2006,1.62539594900357,1.62540777876279,1.18297592202055e-05,319,5,0.000905745184410984,336.7913019
2007,1.6824052710897,1.68245256189856,4.7290808859346e-05,500,5,0.000828772651562337,457.0495698
2008,2.02836309751307,2.02060810267369,-0.00775499483938225,500,3,0.000799999999950256,464.3251408
2009,2.13660891954256,2.13119742939435,-0.00541149014821274,345,1,0.000799999999633736,484.7751981
2010,2.10997264620046,2.09678834884568,-0.0131842973547767,370,2,0.0221168358644735,288.5618693
2011,2.01825668910474,2.01405940705537,-0.00419728204936831,500,3,0.00100308838402724,452.54035
2012,1.98038958738855,1.97027271834398,-0.010116869044563,500,1,0.000799999999938902,460.4244774
2013,1.88350996689745,1.88061569718067,-0.00289426971677198,500,4,0.000799999999999967,536.8754847
2014,1.84374433968315,1.82693023677435,-0.0168141029088003,134,5,0.0297167968966747,381.6963015
2015,1.76277788120021,1.76334961575387,0.000571734553652448,500,3,0.000800000000006635,296.1321197
2016,1.75698497209654,1.74662161052345,-0.0103633615730889,333,5,0.955454455883167,212.7358343
2017,1.66816980069862,1.66764209595871,-0.000527704739901713,500,3,0.00096182936271012,255.4289021
2018,1.65543953484233,1.64726635465136,-0.0081731801909688,500,4,0.00285196887214514,396.4356674
2019,1.96189740464975,1.96173942193635,-0.000157982713399063,121,5,0.00130996176520258,311.8764178
2020,2.11228791266225,2.1122525971119,-3.53155503565183e-05,493,5,0.000921997852569634,269.0216709
2021,1.73705716707538,1.73755462410137,0.000497457025982362,500,1,0.000885005860953747,260.5473982
2022,1.66589163068242,1.64950594467013,-0.0163856860122868,255,4,0.0233696740419621,273.8693748
2023,1.65961760896216,1.65957142677581,-4.61821863546596e-05,403,3,0.000937403157824646,250.1990578
2024,1.57854266071209,1.56439573343232,-0.0141469272797763,500,2,0.000799999999998627,194.6750706
