Year,ExitFlag,FirstOrderOpt,FreeInitFval,ErgodicFval,DeltaFval,BestCand,Seconds
1976,1,0.000999999999228996,1.41774738603936,1.4243090716563,-0.00656168561693393,1,447.6566712
1978,1,0.000999999999954341,1.3370711328888,1.34095346953714,-0.0038823366483336,1,671.1096682
1979,1,0.000999999999994136,1.44553350652573,1.4512826722077,-0.00574916568197237,1,732.5158782
1980,1,0.00099999999999767,1.57141998688799,1.57213892370311,-0.000718936815119697,3,614.5074978
1981,1,0.000999999999997603,1.69273790999826,1.70328059719975,-0.0105426872014935,3,720.1760548
1982,1,0.000999999999640225,1.85134808322821,1.85658659281701,-0.0052385095888019,1,712.5713104
1983,1,0.000999999999999913,1.70918346209093,1.71335303121922,-0.00416956912829103,4,666.5313564
1984,1,0.000999999999914954,1.70002633670936,1.70203386045828,-0.002007523748911,2,833.0792633
1985,1,0.000999999999048471,1.75339833075369,1.76053952685362,-0.00714119609992858,1,746.8261734
1986,1,0.0009999999999727,1.61300899823677,1.61201640690705,0.000992591329721293,3,807.1169404
1987,1,0.000999999999951543,1.50699065646259,1.50969548868189,-0.00270483221929729,1,508.5501192
1988,1,0.000999999999973005,1.49864318726009,1.50193932996023,-0.00329614270013856,1,716.0022923
1989,1,0.000999999999975813,1.50675219655571,1.51143481384971,-0.00468261729400332,3,530.8598574
1990,1,0.000999999999971143,1.60564723895586,1.61072683481412,-0.00507959585826434,1,703.1515454
1991,1,0.000999999999998074,1.72001573172158,1.72462521780065,-0.00460948607906198,2,739.0866593
1992,1,0.000999999999998517,1.71720006805337,1.72136781186242,-0.00416774380904594,2,691.6114965
1994,1,0.000999999999681875,1.80563661300098,1.81654530495892,-0.0109086919579386,2,700.9860058
1995,1,0.000999999999995633,1.59432515894513,1.59718063635166,-0.00285547740653436,1,683.6134421
1996,1,0.000999999999987806,1.55042662036271,1.5521634469131,-0.00173682655038587,2,599.9031705
1997,1,0.00099999999999966,1.50546573140528,1.50641369704734,-0.000947965642057902,2,687.5023393
1998,1,0.00099999999995281,1.49912714258859,1.5020182518062,-0.00289110921761182,1,534.1768986
1999,1,0.000999999999736232,1.52475185423663,1.52780924382499,-0.00305738958835966,1,512.1828222
2000,1,0.000999999999998954,1.59096671916251,1.59516269788043,-0.00419597871791377,1,645.7969075
2001,1,0.000999999999936036,1.67576591095068,1.67851425559251,-0.00274834464182527,1,577.447697
2002,1,0.000999999999999646,1.75508028658601,1.75966105723126,-0.00458077064525231,2,822.1198525
2003,1,0.525424358859997,1.92773566374018,1.92136956392836,0.00636609981182268,4,968.57556
2004,1,0.000780241314890517,1.64614106268041,1.65649334671603,-0.0103522840356169,3,1496.932347
2005,1,0.000836437142881508,1.62399343643534,1.6343519311333,-0.0103584946979549,1,1073.7434065
2006,1,0.000999999999960812,1.62247727026925,1.62540777876279,-0.00293050849353871,1,384.4432176
2007,1,0.000999999999999814,1.67941478996986,1.68245256189856,-0.00303777192870291,1,786.2295955
2008,1,0.000999999999999662,2.02852289527056,2.02060810267369,0.00791479259687256,6,1104.6173555
2009,1,0.000999999999767073,2.1316432102254,2.13119742939435,0.000445780831046516,3,836.6619323
2010,1,0.000999999999999722,2.09134693551961,2.09678834884568,-0.00544141332607184,1,792.9019409
2011,1,0.000999999999986626,2.01464778112959,2.01405940705537,0.000588374074219189,2,554.152709
2012,1,0.000999999999961703,1.97210604769485,1.97027271834398,0.00183332935086145,3,1065.0690246
2013,1,0.000999999999822734,1.87550088241541,1.88061569718067,-0.00511481476526487,1,521.793329
2014,1,0.000999999999998687,1.82190693255725,1.82693023677435,-0.00502330421709796,2,532.4878451
2015,1,0.000999999999999956,1.76096872282917,1.76334961575387,-0.00238089292469779,2,512.7637158
2016,1,0.000999999999550314,1.74316410016364,1.74662161052345,-0.00345751035980979,3,555.9733572
2017,1,0.000999999999997961,1.66514074571353,1.66764209595871,-0.00250135024518361,1,718.4034158
2018,1,0.435768369953203,1.64150829624542,1.64726635465136,-0.00575805840594157,2,875.4655875
2019,1,0.000999999999770297,1.94048652115583,1.96173942193635,-0.0212529007805251,3,782.6727025
2020,1,0.000999999999999976,2.10051358701977,2.1122525971119,-0.011739010092128,1,888.171246
2021,1,0.000999999999947838,1.73375271355617,1.73755462410137,-0.00380191054519141,1,486.8134162
2022,1,0.000999999999764432,1.65383670553248,1.64950594467013,0.00433076086235351,2,484.0102139
2023,1,0.000999999999993981,1.6570234892433,1.65957142677581,-0.00254793753250881,2,725.4653728
2024,1,0.000999999999995013,1.56720857003438,1.56439573343232,0.00281283660206411,2,607.6015633
