Year,EM_FreeInit_Fval,Ergodic_Fval,Delta,EM_Iters,BestStart,FirstOrdOpt,Seconds
1976,1.41066797019812,1.4243090716563,0.0136411014581748,500,1,0.000472409328821986,60.234316
1978,1.32898297356404,1.34095346953714,0.0119704959730984,500,1,0.000799999999841141,318.8035847
1979,1.43549019785631,1.4512826722077,0.0157924743513957,500,3,0.000851361600507966,337.7432484
1980,1.56311979817844,1.57213892370311,0.00901912552467188,500,4,0.000531280042078137,58.9488954
1981,1.68502118620602,1.70328059719975,0.0182594109937309,500,2,0.000944034205592859,401.197804
1982,1.8433267537392,1.85658659281701,0.0132598390778085,500,4,0.000811551829393409,307.1718813
1983,1.70093918104518,1.71335303121922,0.0124138501740401,500,5,0.000271393937469638,59.211259
1984,1.69308680766096,1.70203386045828,0.00894705279731567,500,2,0.00981863732122046,382.6933208
1985,1.73678739155476,1.76053952685362,0.023752135298859,500,3,0.000934612763768023,408.5212645
1986,1.6058788424931,1.61201640690705,0.00613756441394897,500,1,0.000325939380112298,57.8633208
1987,1.49855592010512,1.50969548868189,0.0111395685767681,500,3,0.000540834104194545,57.06606
1988,1.49176107002643,1.50193932996023,0.0101782599338012,500,1,0.000397784688001148,59.3393831
1989,1.49933890735653,1.51143481384971,0.0120959064931832,500,5,0.000712152065267979,56.9965587
1990,1.59851809842063,1.61072683481412,0.0122087363934895,500,1,0.000799999999998927,405.2497014
1991,1.71126612834888,1.72462521780065,0.0133590894517652,500,2,0.00091921296086428,325.4456213
1992,1.70854138138056,1.72136781186242,0.012826430481865,500,3,0.000813526284384546,296.6112275
1994,1.79708660627745,1.81654530495892,0.0194586986814644,500,1,0.000958494597559312,361.4380808
1995,1.58708416896353,1.59718063635166,0.0100964673881296,500,3,0.000799999999980493,324.4393954
1996,1.54253945868203,1.5521634469131,0.00962398823106869,500,5,0.0139500429244875,338.5207638
1997,1.49849110909718,1.50641369704734,0.00792258795015721,500,5,0.000870957098080667,325.0698913
1998,1.49126461555212,1.5020182518062,0.0107536362540799,500,1,0.000665912822161039,57.6595679
1999,1.51855780025605,1.52780924382499,0.0092514435689377,500,4,0.000815347588303559,302.1267391
2000,1.58183977562893,1.59516269788043,0.0133229222515017,500,2,0.000303949234252878,59.0179188
2001,1.66492629405909,1.67851425559251,0.0135879615334202,500,4,0.0621324396500341,198.2231143
2002,1.74553139774432,1.75966105723126,0.0141296594869402,500,3,0.000481258696210826,58.6721573
2003,1.90698483129318,1.92136956392836,0.0143847326351834,500,4,0.00099214986021109,423.4394022
2004,1.64663892813584,1.65649334671603,0.00985441858018277,500,3,0.000807971319746303,57.6047027
2005,1.62416162061828,1.6343519311333,0.0101903105150161,500,1,0.000843239713574196,60.0190299
2006,1.61468792195845,1.62540777876279,0.0107198568043372,500,1,0.000799999999997337,309.613749
2007,1.67074747338024,1.68245256189856,0.0117050885183232,500,5,0.023642124079643,201.0744636
2008,2.00526638308297,2.02060810267369,0.0153417195907224,500,3,0.00096598557787142,392.6047923
2009,2.12420318008031,2.13119742939435,0.00699424931403891,267,1,0.000868183764284436,346.7600702
2010,2.08392272548423,2.09678834884568,0.012865623361447,343,2,0.000807626954306063,371.701553
2011,2.00834479261737,2.01405940705537,0.00571461443800692,500,1,0.0367789232631831,419.8497869
2012,1.96404612121818,1.97027271834398,0.00622659712580154,500,1,0.000957876625665488,338.2215964
2013,1.86917121652017,1.88061569718067,0.0114444806605047,500,2,0.0244180859629407,187.7926163
2014,1.81479491771663,1.82693023677435,0.0121353190577191,500,1,0.000428821260370653,56.7857231
2015,1.75327316359768,1.76334961575387,0.0100764521561854,500,5,0.0234385574383234,221.035131
2016,1.7365336631752,1.74662161052345,0.0100879473482511,500,3,0.000984654201784842,57.1441274
2017,1.65897839240788,1.66764209595871,0.00866370355083768,500,4,0.000799999999216846,306.4614283
2018,1.64125651782552,1.64726635465136,0.00600983682583833,500,2,0.000890144119244866,416.2514988
2019,1.92951626489639,1.96173942193635,0.0322231570399616,500,1,0.00084707825634437,323.6462781
2020,2.09272658480696,2.1122525971119,0.0195260123049326,500,4,0.0394679840198247,357.7093527
2021,1.72498326170593,1.73755462410137,0.0125713623954358,500,4,0.000879563792175242,302.4021365
2022,1.64601991255503,1.64950594467013,0.00348603211509535,124,1,0.000812143944003862,491.5324365
2023,1.64894437879695,1.65957142677581,0.0106270479788626,500,1,0.000870168010546846,298.8897604
2024,1.54681774739238,1.56439573343232,0.017577986039943,500,1,0.000941299211590807,400.3571574
