Year,ExitFlag,FirstOrderOpt,Fval,RegPenalty,RegBinding,Seconds
1976,1,192,1.44111462602613,1.19252538174194e-07,1,414.2905108
1978,1,768,1.33887353600449,1.05787124271344e-06,1,264.0459603
1979,1,3328,1.44773094495494,1.43191254838127e-07,1,253.4933319
1980,1,4032,1.57294831849584,7.73264620311599e-09,1,331.8071645
1981,1,4992,1.69907446991532,5.32033250414556e-08,1,277.5465267
1982,1,0.668697494699182,1.85261790854219,1.85159158440202e-08,1,289.5792296
1983,1,320,1.71017791754647,1.01361486317497e-07,1,269.5889723
1984,1,2560,1.76573935436737,9.47630336898645e-08,1,246.6715543
1985,1,5760,1.80404274115276,0.000441547036117118,1,375.9026951
1986,1,2880,1.61217197739716,1.99652299737252e-08,1,375.6627826
1987,2,4.9999999999917e+15,1.65975070348603,0.00414305779296649,1,264.7096912
1988,1,4864,1.5334011301655,1.90766780575545e-06,1,533.3392588
1989,1,3584,1.50996525587533,3.87252403210836e-08,1,206.2863679
1990,1,5312,1.61703216141006,5.54333216593351e-09,1,272.7615058
1991,1,2560,1.80718355073873,0.000401201890643719,1,382.7810176
1992,1,3904,1.77950011374875,0.000145245582450048,1,242.6755172
1994,1,23.9862876094087,1.81198088543383,7.64843532019785e-05,1,306.3054938
1995,1,4224,1.59425510001701,4.21672810548947e-08,1,512.9205248
1996,1,4736,1.61594812518448,9.08184102040684e-05,1,280.759895
1997,1,4480,1.53267786979384,4.75715259389834e-08,1,453.7857154
1998,1,2.30749339613645,1.5200044178838,6.45386976719834e-08,1,103.864224
1999,1,2524.67552498762,1.52613826442528,3.04806761953043e-07,1,161.5833867
2000,1,2264.23325773758,1.64322414828725,0.00019687885026257,1,331.5523306
2001,1,5184,1.67901482976957,3.80786186340634e-08,1,208.1656476
2002,1,384,1.75199207158778,1.1759181332388e-07,1,178.5851006
2003,1,2688,1.96364415901388,2.03002586649356e-06,1,315.4955455
2004,1,320,1.66903554858418,2.09095314388335e-07,1,94.3563297
2005,1,64,1.64428496452479,3.65932012860784e-09,1,94.6608907
2006,1,64,1.62113619190384,1.31657105599883e-07,1,173.7111954
2007,1,3520,1.73750131146802,6.85924375133015e-05,1,150.2203375
2008,1,4992,2.07127836930106,1.59087414250977e-05,1,277.4278296
2009,1,384,2.14475277418386,4.75549873966276e-10,1,163.7218345
2010,1,64,2.17855631078478,0.00298124987160055,1,212.4224294
2011,1,128,2.01773020563082,9.15180740470887e-10,1,328.0953925
2012,1,2624,1.97213292161611,4.4387353802533e-08,1,258.5990238
2013,1,2304,1.87987821916421,5.683366082843e-08,1,317.2936735
2014,1,4480,1.82229482333884,2.90564310209365e-06,1,262.8227538
2015,1,4160,1.75949838061846,2.46419023136324e-08,1,209.5806859
2016,1,64,1.75062952203997,5.99541909216437e-08,1,120.21706
2017,1,5696,1.72125757290698,6.9601780648304e-06,1,199.7590175
2018,1,128,1.70402723248781,3.71996652541765e-06,1,200.906471
2019,1,79.4257764514843,1.95605897979842,9.33743988610648e-07,1,215.5891813
2020,1,3200,2.10933298742645,2.51175144710254e-06,1,272.0299141
2021,1,6400,1.74325351631164,2.22774902852571e-07,1,295.2631534
2022,2,4.96597458580759e+17,1.93298134156625,0.00122203128491903,1,34.6126569
2023,2,4.96597458580758e+17,1.93433793493548,0.00122203128491903,1,37.7127168
2024,2,4.96597458580805e+17,1.8409453536666,0.00122203128491903,1,33.3145101
