Year,Sequential_fval,FreeInit_fval,Delta,Source
1976,1.41965151928214,1.4087076961147,-0.0109438231674377,forward
1978,1.3365265815167,1.32733440747361,-0.00919217404309469,forward
1979,1.44654690032622,1.43410675003763,-0.0124401502885907,forward
1980,1.57160166997423,1.5624468975015,-0.00915477247272944,forward
1981,1.69907446991532,1.68267268072217,-0.0164017891931461,forward
1982,1.85261790854219,1.84009349697043,-0.0125244115717609,forward
1983,1.71008692292218,1.69875109031067,-0.0113358326115089,forward
1984,1.69913585366936,1.6887463607601,-0.0103894929092534,backward
1985,1.74742504768896,1.73461208070239,-0.0128129669865775,forward
1986,1.61155388892232,1.60387948338338,-0.00767440553894061,backward
1987,1.50583137430375,1.49578293460883,-0.0100484396949252,backward
1988,1.49805313282118,1.48953574583471,-0.00851738698646232,forward
1989,1.50996525587533,1.49842345834451,-0.0115417975308216,forward
1990,1.60758037818712,1.59715303796618,-0.0104273402209398,forward
1991,1.79459273915784,1.70926371110665,-0.0853290280511962,forward
1992,1.71597294972869,1.70675025818492,-0.0092226915437672,forward
1994,1.80403594689328,1.7933784168991,-0.0106575299941776,forward
1995,1.59425510001701,1.58414334747347,-0.0101117525435364,forward
1996,1.54948081536386,1.54040117681393,-0.00907963854992677,backward
1997,1.51246699983261,1.49571870673105,-0.0167482931015612,forward
1998,1.5200044178838,1.48943939737532,-0.0305650205084871,forward
1999,1.52470003789278,1.51625594213326,-0.00844409575951932,forward
2000,1.59070661939922,1.57974477296301,-0.0109618464362076,forward
2001,1.67901482976957,1.66327348944343,-0.0157413403261382,forward
2002,1.75199207158778,1.74310931549909,-0.00888275608869038,forward
2003,1.93018377827709,1.9028810230618,-0.0273027552152856,backward
2004,1.66831157988451,1.64458941048287,-0.0237221694016401,forward
2005,1.64428496452479,1.62195910665195,-0.022325857872842,forward
2006,1.62113619190384,1.61237981710891,-0.00875637479492841,forward
2007,1.67673255520095,1.66811451065339,-0.00861804454756854,forward
2008,2.02421961410271,2.00351192364986,-0.0207076904528551,forward
2009,2.13314861941744,2.12249125240981,-0.0106573670076369,forward
2010,2.09141999939696,2.08066456456157,-0.0107554348353971,forward
2011,2.01531719365229,2.00551976256122,-0.00979743109106979,forward
2012,1.96991680012738,1.96027129010425,-0.0096455100231303,forward
2013,1.87987821916421,1.86540778133364,-0.0144704378305691,forward
2014,1.82155685445894,1.81144742749094,-0.0101094269679958,forward
2015,1.75949838061846,1.75113719421583,-0.00836118640263339,forward
2016,1.75062952203997,1.7344993712519,-0.0161301507880796,forward
2017,1.67673430812314,1.65815868268457,-0.0185756254385758,forward
2018,1.64804571541434,1.63887750270828,-0.0091682127060595,forward
2019,1.95426733197698,1.92895410157125,-0.0253132304057331,forward
2020,2.10933298742645,2.09200689973357,-0.0173260876928749,forward
2021,1.73177638120438,1.72394306791462,-0.00783331328976211,forward
2022,1.65079395431992,1.64547398288702,-0.00531997143289531,backward
2023,1.65605050773669,1.64752041772593,-0.00853009001075677,forward
2024,1.56464390525875,1.54867109453291,-0.0159728107258388,forward
