Year,Warmstart_fval,Smooth_fval,Delta,Source
1976,1.4087076961147,1.4087076961147,0,existing
1978,1.32733440747361,1.32733440747361,0,existing
1979,1.43410675003763,1.43410675003763,0,existing
1980,1.5624468975015,1.5624468975015,0,existing
1981,1.68267268072217,1.68267268072217,0,existing
1982,1.84009349697043,1.84009349697043,0,existing
1983,1.69875109031067,1.69875109031067,0,existing
1984,1.6887463607601,1.6887463607601,0,existing
1985,1.73461208070239,1.73461208070239,0,existing
1986,1.60387948338338,1.60387948338338,0,existing
1987,1.49578293460883,1.49578293460883,0,existing
1988,1.48953574583471,1.48953574583471,0,existing
1989,1.49842345834451,1.49842345834451,0,existing
1990,1.59715303796618,1.59715303796618,0,existing
1991,1.70926371110665,1.70926371110665,0,existing
1992,1.70675025818492,1.70675025818492,0,existing
1994,1.7933784168991,1.7933784168991,0,existing
1995,1.58414334747347,1.58414334747347,0,existing
1996,1.54040117681393,1.54040117681393,0,existing
1997,1.49571870673105,1.49571870673105,0,existing
1998,1.48943939737532,1.48943939737532,0,existing
1999,1.51625594213326,1.51619868385993,-5.72582733291416e-05,forward
2000,1.57974477296301,1.57974477296301,0,existing
2001,1.66327348944343,1.66327348944343,0,existing
2002,1.74310931549909,1.74310931549909,0,existing
2003,1.9028810230618,1.9028810230618,0,existing
2004,1.64458941048287,1.64458941048287,0,existing
2005,1.62195910665195,1.62195910665195,0,existing
2006,1.61237981710891,1.61237981710891,0,existing
2007,1.66811451065339,1.66811451065339,0,existing
2008,2.00351192364986,2.00351192364986,0,existing
2009,2.12249125240981,2.12249125240981,0,existing
2010,2.08066456456157,2.08066456456157,0,existing
2011,2.00551976256122,2.00551976256122,0,existing
2012,1.96027129010425,1.96027129010425,0,existing
2013,1.86540778133364,1.86540778133364,0,existing
2014,1.81144742749094,1.81144742749094,0,existing
2015,1.75113719421583,1.75113719421583,0,existing
2016,1.7344993712519,1.7344993712519,0,existing
2017,1.65815868268457,1.65785287006412,-0.000305812620446488,backward
2018,1.63887750270828,1.63843683228159,-0.000440670426695711,forward
2019,1.92895410157125,1.92895410157125,0,existing
2020,2.09200689973357,2.09200689973357,0,existing
2021,1.72394306791462,1.72394306791462,0,existing
2022,1.64547398288702,1.64547398288702,0,existing
2023,1.64752041772593,1.64752041772593,0,existing
2024,1.54867109453291,1.54867109453291,0,existing
