Year,Existing_fval,Sequential_fval,Delta,Source
1976,1.44111462602613,1.41965151928214,-0.0214631067439877,backward
1978,1.33887353600449,1.3365265815167,-0.00234695448778943,forward
1979,1.44773094495494,1.44654690032622,-0.0011840446287259,forward
1980,1.57294831849584,1.57160166997423,-0.00134664852161182,forward
1981,1.69907446991532,1.69907446991532,0,existing
1982,1.85261790854219,1.85261790854219,0,existing
1983,1.71017791754647,1.71008692292218,-9.09946242884097e-05,forward
1984,1.76573935436737,1.69913585366936,-0.066603500698009,forward
1985,1.80404274115276,1.74742504768896,-0.0566176934637932,forward
1986,1.61217197739716,1.61155388892232,-0.000618088474843015,forward
1987,1.50583137430375,1.50583137430375,0,existing
1988,1.5334011301655,1.49805313282118,-0.0353479973443251,backward
1989,1.50996525587533,1.50996525587533,0,existing
1990,1.61703216141006,1.60758037818712,-0.00945178322294704,forward
1991,1.80718355073873,1.79459273915784,-0.0125908115808857,forward
1992,1.77950011374875,1.71597294972869,-0.063527164020055,backward
1994,1.81198088543383,1.80403594689328,-0.00794493854054923,forward
1995,1.59425510001701,1.59425510001701,0,existing
1996,1.61594812518448,1.54948081536386,-0.0664673098206228,forward
1997,1.53267786979384,1.51246699983261,-0.0202108699612278,backward
1998,1.5200044178838,1.5200044178838,0,existing
1999,1.52613826442528,1.52470003789278,-0.00143822653250059,forward
2000,1.64322414828725,1.59070661939922,-0.0525175288880313,backward
2001,1.67901482976957,1.67901482976957,0,existing
2002,1.75199207158778,1.75199207158778,0,existing
2003,1.96364415901388,1.93018377827709,-0.0334603807367908,forward
2004,1.66903554858418,1.66831157988451,-0.000723968699670285,backward
2005,1.64428496452479,1.64428496452479,0,existing
2006,1.62113619190384,1.62113619190384,0,existing
2007,1.73750131146802,1.67673255520095,-0.0607687562670693,forward
2008,2.07127836930106,2.02421961410271,-0.0470587551983441,backward
2009,2.14475277418386,2.13314861941744,-0.0116041547664194,forward
2010,2.17855631078478,2.09141999939696,-0.0871363113878223,forward
2011,2.01773020563082,2.01531719365229,-0.0024130119785255,forward
2012,1.97213292161611,1.96991680012738,-0.00221612148873174,forward
2013,1.87987821916421,1.87987821916421,0,existing
2014,1.82229482333884,1.82155685445894,-0.000737968879902295,forward
2015,1.75949838061846,1.75949838061846,0,existing
2016,1.75062952203997,1.75062952203997,0,existing
2017,1.72125757290698,1.67673430812314,-0.0445232647838376,forward
2018,1.70402723248781,1.64804571541434,-0.0559815170734641,backward
2019,1.95605897979842,1.95426733197698,-0.00179164782143726,forward
2020,2.10933298742645,2.10933298742645,0,existing
2021,1.74325351631164,1.73177638120438,-0.0114771351072616,forward
2022,1.65733626916308,1.65079395431992,-0.00654231484316314,forward
2023,1.65605050773669,1.65605050773669,0,existing
2024,1.5668264892363,1.56464390525875,-0.00218258397754378,forward
